Product Name,Product link,Brand,Sale Price,Mrp,Discount Percentage,Number Of Ratings,Number Of Reviews,Upc,Star Rating,Ram
"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)",www.amazon.com,Apple,41999,52900,20,7000,6796,MOBF9Z7ZZY3HCDZZ,4.6,4 GB
"APPLE iPhone 11 Pro Max (Gold, 256 GB)",www.amazon.com,Apple,131900,131900,0,1078,101,MOBFKCTS7HCHSPFH,4.7,4 GB
"APPLE iPhone 11 Pro Max (Gold, 64 GB)",www.amazon.com,Apple,117100,117100,0,1078,101,MOBFKCTSAPAYNSGG,4.7,4 GB
"APPLE iPhone 11 Pro Max (Midnight Green, 256 GB)",www.amazon.com,Apple,131900,131900,0,1078,101,MOBFKCTSCAAKGQV7,4.7,4 GB
"APPLE iPhone 11 Pro Max (Space Grey, 64 GB)",www.amazon.com,Apple,117100,117100,0,1078,101,MOBFKCTSKDMKCGQS,4.7,4 GB
"APPLE iPhone 11 Pro (Midnight Green, 64 GB)",www.amazon.com,Apple,74999,106600,29,7088,523,MOBFKCTSN3TG3RFJ,4.6,4 GB
"APPLE iPhone 11 Pro (Space Grey, 512 GB)",www.amazon.com,Apple,117900,140300,15,7088,523,MOBFKCTSRTHRQTFT,4.6,4 GB
"APPLE iPhone 11 Pro Max (Midnight Green, 64 GB)",www.amazon.com,Apple,117100,117100,0,1078,101,MOBFKCTSRYPAQNYT,4.7,4 GB
"APPLE iPhone 11 Pro (Midnight Green, 512 GB)",www.amazon.com,Apple,117900,140300,15,7088,523,MOBFKCTSSJCWYGCC,4.6,4 GB
"APPLE iPhone 11 Pro (Space Grey, 256 GB)",www.amazon.com,Apple,99900,121300,17,7081,522,MOBFKCTSWGYSAS9X,4.6,4 GB
"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)",www.amazon.com,Apple,44999,54900,18,8000,8161,MOBFRFXHPZCHAPEH,4.5,2 GB
"APPLE iPhone 12 Pro (Silver, 512 GB)",www.amazon.com,Apple,140900,149900,6,542,42,MOBFWBYZ5UY6ZBVA,4.5,4 GB
"APPLE iPhone 12 Pro Max (Pacific Blue, 256 GB)",www.amazon.com,Apple,130900,139900,6,580,45,MOBFWBYZ8STJXCVT,4.6,6 GB
"APPLE iPhone 12 Mini (White, 128 GB)",www.amazon.com,Apple,64900,74900,13,740,64,MOBFWBYZAGXJRDGB,4.5,4 GB
"APPLE iPhone 12 Pro (Graphite, 256 GB)",www.amazon.com,Apple,120900,129900,6,545,42,MOBFWBYZBA36UB7G,4.5,6 GB
"APPLE iPhone 12 Mini (White, 64 GB)",www.amazon.com,Apple,59900,69900,14,740,64,MOBFWBYZBH4CEC4C,4.5,4 GB
"APPLE iPhone 12 (White, 128 GB)",www.amazon.com,Apple,75900,84900,10,2101,180,MOBFWBYZBTZFGJF9,4.6,6 GB
"APPLE iPhone 12 Pro (Graphite, 128 GB)",www.amazon.com,Apple,110900,119900,7,545,42,MOBFWBYZBZ7Y56WD,4.5,6 GB
"APPLE iPhone 12 Pro Max (Graphite, 256 GB)",www.amazon.com,Apple,130900,139900,6,580,45,MOBFWBYZEF6XQ5ZW,4.6,6 GB
"APPLE iPhone 12 Pro Max (Graphite, 128 GB)",www.amazon.com,Apple,120900,129900,6,580,45,MOBFWBYZFDGQSDWS,4.6,6 GB
"APPLE iPhone 12 Mini (Black, 128 GB)",www.amazon.com,Apple,64900,74900,13,730,63,MOBFWBYZH2AMPNPD,4.5,4 GB
"APPLE iPhone 12 Mini (Blue, 128 GB)",www.amazon.com,Apple,64900,74900,13,730,63,MOBFWBYZHU58PHCZ,4.5,4 GB
"APPLE iPhone 12 (Black, 128 GB)",www.amazon.com,Apple,75900,84900,10,2101,180,MOBFWBYZK3HACR72,4.6,6 GB
"APPLE iPhone 12 (Blue, 128 GB)",www.amazon.com,Apple,75900,84900,10,2101,180,MOBFWBYZKPTZF9VG,4.6,6 GB
"APPLE iPhone 12 Pro Max (Silver, 128 GB)",www.amazon.com,Apple,120900,129900,6,580,45,MOBFWBYZNSNVGGZC,4.6,6 GB
"APPLE iPhone 12 Mini (Red, 64 GB)",www.amazon.com,Apple,59900,69900,14,740,64,MOBFWBYZNVWGWN2U,4.5,6 GB
"APPLE iPhone 12 Pro Max (Gold, 128 GB)",www.amazon.com,Apple,120900,129900,6,580,45,MOBFWBYZQVKT77YH,4.6,6 GB
"APPLE iPhone 12 (Green, 128 GB)",www.amazon.com,Apple,75900,84900,10,2092,178,MOBFWBYZQXUEHF48,4.6,6 GB
"APPLE iPhone 12 Pro (Pacific Blue, 512 GB)",www.amazon.com,Apple,140900,149900,6,545,42,MOBFWBYZTHSXKMGW,4.5,4 GB
"APPLE iPhone 12 (White, 64 GB)",www.amazon.com,Apple,70900,79900,11,2101,180,MOBFWBYZTK33MBG9,4.6,6 GB
"APPLE iPhone 12 (Black, 64 GB)",www.amazon.com,Apple,70900,79900,11,2092,178,MOBFWBYZU5FWK2VP,4.6,6 GB
"APPLE iPhone 12 (Red, 128 GB)",www.amazon.com,Apple,75900,84900,10,2101,180,MOBFWBYZUHPFWQRD,4.6,6 GB
"APPLE iPhone 12 Mini (Black, 64 GB)",www.amazon.com,Apple,59900,69900,14,740,64,MOBFWBYZXSEGBS6F,4.5,4 GB
"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)",www.amazon.com,Apple,110900,119900,7,545,42,MOBFWBYZXYSCEEEH,4.5,6 GB
"APPLE iPhone 12 Pro Max (Pacific Blue, 128 GB)",www.amazon.com,Apple,120900,129900,6,580,45,MOBFWBYZZABKHZQA,4.6,6 GB
"APPLE iPhone 12 Pro Max (Silver, 256 GB)",www.amazon.com,Apple,130900,139900,6,580,45,MOBFWBYZZH4AM8FE,4.6,6 GB
"APPLE iPhone 12 Pro Max (Gold, 256 GB)",www.amazon.com,Apple,130900,139900,6,580,45,MOBFWBYZZPW8JHQF,4.6,6 GB
"APPLE iPhone 11 (White, 128 GB)",www.amazon.com,Apple,54999,59900,8,10000,3357,MOBFWQ6B7KKRXDDS,4.6,4 GB
"APPLE iPhone 11 (Red, 128 GB)",www.amazon.com,Apple,54999,59900,8,5000,3357,MOBFWQ6BEZTNK59G,4.6,4 GB
"APPLE iPhone SE (White, 64 GB)",www.amazon.com,Apple,29999,39900,24,9200,8154,MOBFWQ6BGWDVGF3E,4.5,2 GB
"APPLE iPhone SE (Black, 128 GB)",www.amazon.com,Apple,34999,44900,22,8000,8161,MOBFWQ6BHUEVZPXD,4.5,2 GB
"APPLE iPhone SE (White, 128 GB)",www.amazon.com,Apple,34999,44900,22,70000,8154,MOBFWQ6BJEHMUUZY,4.5,2 GB
"APPLE iPhone SE (Red, 128 GB)",www.amazon.com,Apple,34999,44900,22,11301,8161,MOBFWQ6BJTVFKPEJ,4.5,2 GB
"APPLE iPhone 11 (Black, 128 GB)",www.amazon.com,Apple,54999,59900,8,1200,3331,MOBFWQ6BKRYBP5X8,4.6,4 GB
"APPLE iPhone SE (Black, 64 GB)",www.amazon.com,Apple,29999,39900,24,7500,8161,MOBFWQ6BR3MK7AUG,4.5,4 GB
"APPLE iPhone 11 (Purple, 64 GB)",www.amazon.com,Apple,46999,54900,14,11200,3331,MOBFWQ6BTFFJKGKE,4.6,4 GB
"APPLE iPhone 11 (White, 64 GB)",www.amazon.com,Apple,46999,54900,14,8500,3331,MOBFWQ6BVWVEH3XE,4.6,4 GB
"APPLE iPhone 11 (Black, 64 GB)",www.amazon.com,Apple,46999,54900,14,12500,3331,MOBFWQ6BXGJCEYNY,4.6,4 GB
"APPLE iPhone 11 (Red, 64 GB)",www.amazon.com,Apple,46999,54900,14,8000,3331,MOBFWQ6BYYV3FCU7,4.6,4 GB
